Player,Team,League,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",xA per 90,Key passes per 90,Passes to final third per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Aerial duels per 90,"Direct free kicks on target, %","Penalty conversion, %"
E. Capoue,Villarreal,La Liga,Midfielder,35,3000000,2024-06-30,9,510,0,0.47,0,0.08,18.53,55.24,France,"France, Guadeloupe",right,189,80,no,7.24,6.18,62.86,2.29,38.46,0.35,0.43,0.35,3,3.7,1.24,2,0.35,0,0,0,0,0,0.08,0,0,6,1.06,50,0,0,0,0,1.94,45.45,8.29,57.45,1.59,1.59,0.53,29.47,3,39.18,86.94,11.65,77.27,0.01,0.71,5.65,5.12,82.76,0,,0,,0,0,0,0,,,1.41,,0,0
I. Doukouré,Strasbourg,Ligue 1,Midfielder,20,3000000,2026-06-30,8,756,0,0.04,0,0.07,14.64,43.9,France,"France, Côte d'Ivoire",right,183,80,no,7.5,5.6,59.57,2.38,25,0.24,0.26,0.36,3.93,4.36,1.07,2,0.24,0,0,0,0,0,0,0,0,2,0.24,0,0,0,0,0,1.07,33.33,5.12,30.23,0,0.71,0,22.14,0.36,34.4,88.93,9.76,79.27,0.01,0.12,4.64,4.4,81.08,0,,0,,0,0,0,0,,,0.71,,0,0
Gumbau,Granada,La Liga,Midfielder,28,3000000,,9,816,0,0.13,0,1.5,12.68,45.22,Spain,Spain,left,187,77,no,4.63,6.62,45,1.21,45.45,0.22,0.28,0,1.43,1.8,2.32,4,0.44,0,0,0,0,0,0.01,0,0,11,1.21,27.27,0,0,0.77,57.14,1.21,63.64,3.2,44.83,0.33,0.33,0.33,21.29,0.88,30,77.21,10.92,56.57,0.17,0.33,5.96,5.74,67.31,0,,0,,0,0,0,0,,,0.22,,25,0
M. Camara,Brest,Ligue 1,Midfielder,25,3000000,2024-06-30,8,525,1,1.75,0,0.72,18.51,51.85,France,"France, Gambia",right,178,66,no,8.4,6.51,71.05,2.74,50,0.51,0.69,0.17,3.26,4.35,1.54,4,0.69,0,0,0.17,1,0.17,0.3,0,0,10,1.71,40,10,0,1.89,45.45,1.54,77.78,5.31,48.39,4.11,1.89,1.03,17.14,1.2,28.11,85.37,5.49,87.5,0.12,0.51,2.06,2.74,75,0,,0,,0,0,0,0,,,0,,0,0
L. Abergel,Lorient,Ligue 1,Midfielder,30,3000000,2026-06-30,8,791,1,0.48,1,0.73,17.07,44.67,France,France,right,170,65,no,9.33,7.96,47.14,0.57,60,0.46,0.47,0.34,5.12,5.27,1.25,1,0.11,0,0,0.11,1,0.11,0.06,0,0,5,0.57,20,20,0.11,0.57,80,2.62,69.57,6.03,49.06,0.23,0.57,0,39.82,1.37,55.98,90.24,14.22,77.6,0.08,0.46,7.51,6.26,69.09,0,,0,,0,0,0,0,,,1.37,,0,0
N. Schmidt,Toulouse,Ligue 1,Midfielder,25,2500000,2025-06-30,7,427,1,0.86,0,0.41,12.01,45.61,Germany,Germany,right,184,82,no,7.59,5.27,68,0.84,0,0.63,0.79,0.84,3.37,4.21,0.21,1,0.21,0,0,0.21,1,0.21,0.18,0,0,5,1.05,100,20,0,0.84,25,1.05,60,4.43,23.81,0.42,1.26,0.84,32.67,0.63,46.58,82.81,15.18,61.11,0.09,0,4.64,8.01,68.42,0,,0,,0,0,0,0,,,0.42,,100,0
M. Kaba,Lecce,Serie A,Midfielder,21,2500000,2024-06-30,7,457,0,0.13,0,0.03,20.48,40.38,France,"France, Guinea",right,185,77,no,7.48,7.48,57.89,3.35,47.06,0.59,0.82,0.2,2.56,3.55,1.97,2,0.39,1,0.2,0,0,0,0.02,0,0,1,0.2,100,0,0,0.59,33.33,1.97,20,7.48,21.05,0.59,0.98,0,18.12,0.98,24.42,86.29,8.47,83.72,0.01,0,4.33,3.35,70.59,0,,0,,0,0,0,0,,,0.59,,0,0
E. Millot,Stuttgart,Bundesliga,Midfielder,21,2500000,2025-06-30,6,484,2,0.61,0,0.72,19.71,49.06,France,"France, Martinique",left,174,66,no,5.95,5.21,60.71,0.74,50,0.19,0.26,0.19,2.6,3.68,1.49,1,0.19,0,0,0.37,2,0.37,0.11,0,0,7,1.3,85.71,28.571,0,2.6,28.57,3.35,66.67,10.6,49.12,2.98,0.93,0.19,41.1,1.86,51.69,84.17,10.97,69.49,0.13,0.74,5.95,4.65,72,0,,0,,0,0,0,0,,,0.74,,0,0
A. Colpani,Monza,Serie A,Midfielder,24,2500000,2028-06-30,8,636,4,1.22,0,1.22,16.27,41.74,Italy,Italy,left,184,77,no,3.68,4.1,55.17,0.99,0,0.14,0.19,0.14,1.27,1.69,0.71,0,0,0,0,0.57,4,0.57,0.17,1,0.14,16,2.26,50,25,0,1.98,35.71,3.82,55.56,9.76,40.58,3.54,2.97,0.71,26.6,1.7,30.99,83.56,8.07,77.19,0.17,0.71,2.26,4.53,84.38,0,,0,,0,0,0,0,,,0.42,,0,0
L. Mazzitelli,Frosinone,Serie A,Midfielder,27,2500000,2025-06-30,8,756,2,1.05,0,0,17.62,47.97,Italy,Italy,right,187,76,no,10.12,7.14,58.33,3.81,43.75,0.83,1.15,0.12,5.12,7.05,1.55,2,0.24,0,0,0.24,2,0.24,0.12,0,0,13,1.55,38.46,15.385,0,1.19,10,0.95,37.5,4.29,38.89,1.07,0.24,0,34.64,1.55,46.19,80.67,16.79,70.92,0,0,8.1,9.05,69.74,0,,0,,0,0,0,0,,,1.67,,0,0
M. Folorunsho,Hellas Verona,Serie A,Midfielder,25,2500000,2024-06-30,8,739,0,0.56,0,0.17,25.94,45.54,Italy,"Italy, Nigeria",right,185,75,yes,8.77,6.94,66.67,5.85,35.42,0.12,0.16,0.12,4.02,5.27,1.22,1,0.12,0,0,0,0,0,0.07,0,0,8,0.97,25,0,0,1.46,16.67,2.07,41.18,8.65,39.44,0.73,1.46,0.85,14.25,2.44,23.99,75.63,6.58,59.26,0.02,0.24,2.31,3.29,74.07,0,,0,,0,0,0,0,,,0.85,,0,0
K. Stöger,Bochum,Bundesliga,Midfielder,30,2500000,2024-06-30,7,578,2,1.26,0,0.51,16.6,52.22,Austria,Austria,left,175,74,no,8.11,6.45,60,0.74,0,0.18,0.21,0,4.06,4.52,1.84,3,0.47,0,0,0.31,1,0.18,0.23,0,0,14,2.58,42.86,14.286,0,2.95,31.25,2.03,63.64,6.64,50,0.92,2.03,0.55,30.98,1.84,47.77,67.18,17.7,46.88,0.09,0.55,11.07,7.75,90.48,0,,0,,0,0,0,0,,,1.48,,0,100
M. Bero,Bochum,Bundesliga,Midfielder,28,2500000,,5,382,0,0.17,0,0,17.64,47.46,Slovakia,Slovakia,right,181,81,no,6.58,6.88,60.87,3.29,27.27,0,0,0,2.39,2.86,2.09,2,0.47,0,0,0,0,0,0.05,0,0,2,0.6,0,0,0,1.5,0,1.2,50,4.19,42.86,1.5,0.3,0.3,19.14,0.9,26.91,78.89,9.27,70.97,0,0.3,3.89,3.89,69.23,0,,0,,0,0,0,0,,,0.9,,0,0
J. Ponceau,Lorient,Ligue 1,Midfielder,22,2500000,2025-06-30,8,532,1,0.75,1,0.24,19.79,47.01,Angola,"Angola, France",right,170,60,no,8.29,7.95,59.57,1.69,40,0,0,0,3.55,3.75,1.02,1,0.17,0,0,0.17,1,0.17,0.13,0,0,7,1.18,42.86,14.286,0.17,0.34,0,2.2,53.85,7.95,42.55,1.35,2.2,0.68,42.8,0.85,52.44,90,10.49,72.58,0.04,0.34,4.91,3.38,65,0,,0,,0,0,0,0,,,0.51,,0,0
G. Bonaventura,Fiorentina,Serie A,Midfielder,34,2500000,2024-06-30,8,678,4,1.77,2,0.79,16.59,48,Italy,Italy,right,181,75,no,5.71,4.38,72.73,1.19,33.33,0.13,0.2,0.13,2.39,3.6,0.4,2,0.27,0,0,0.53,4,0.53,0.24,0,0,14,1.86,28.57,28.571,0.27,1.59,41.67,2.65,45,8.63,38.46,1.46,1.86,0.4,33.58,0.66,44.2,86.49,8.89,76.12,0.11,0.66,4.25,4.12,87.1,0,,0,,0,0,0,0,,,0.53,,0,0
A. Makoumbou,Cagliari,Serie A,Midfielder,25,2200000,2026-06-30,8,778,0,0,0,0,14,42.15,France,"France, Congo",right,187,80,no,6.25,5.55,62.5,0.69,16.67,0,0,0.35,2.78,2.89,0.46,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,100,1.04,55.56,5.67,30.61,0.12,0.23,0,30.08,1.27,40.14,93.66,10.06,82.76,0,0,4.51,4.05,74.29,0,,0,,0,0,0,0,,,0.69,,0,0
Iñigo Ruiz de Galarreta,Athletic Bilbao,La Liga,Midfielder,30,2000000,,6,557,0,0.18,0,0.23,16.64,45.63,Spain,Spain,right,175,70,no,5.17,4.69,44.83,3.72,47.83,0,0,0.16,3.07,4.35,1.62,2,0.32,0,0,0,0,0,0.03,0,0,2,0.32,0,0,0,1.29,25,1.45,66.67,5.17,43.75,0.48,0.81,0.32,30.86,1.13,47.02,80.76,12.76,68.35,0.04,0,5.82,5.98,78.38,0,,0,,0,0,0,0,,,0.48,,0,0
A. Grassi,Empoli,Serie A,Midfielder,28,2000000,2024-06-30,6,447,0,0.23,0,0.05,15.7,52.56,Italy,Italy,right,183,75,no,9.66,5.23,53.85,3.62,61.11,0.4,0.55,0.2,6.44,8.81,1.61,2,0.4,0,0,0,0,0,0.05,0,0,5,1.01,20,0,0,0.4,50,1.21,50,3.83,57.89,0.6,0.81,0,24.97,2.01,39.26,86.67,15.5,75.32,0.01,0,6.24,6.04,76.67,0,,0,,0,0,0,0,,,0.81,,0,0
O. Norwood,Sheffield United,Premier League,Midfielder,32,2000000,2024-06-30,7,608,0,0.09,0,0.95,10.51,53.52,England,"England, Northern Ireland",right,180,75,no,9.03,5.92,67.5,2.07,35.71,0.89,0.97,0.44,4.14,4.54,0.3,2,0.3,0,0,0,0,0,0.01,0,0,5,0.74,40,0,0,0.3,0,0,0,0.74,20,0.15,0.3,0,29.9,0.15,43.82,83.78,17.32,67.52,0.14,0,8.88,8.88,83.33,0,,0,,0,0,0,0,,,0.89,,0,0
Rubén Alcaraz,Cádiz,La Liga,Midfielder,32,2000000,2025-06-30,9,847,0,0.48,0,0.36,19.34,51.65,Spain,Spain,right,180,82,no,9.78,10.63,49,2.13,50,0.21,0.26,0.32,4.36,5.35,2.23,5,0.53,0,0,0,0,0,0.05,0,0,8,0.85,12.5,0,0,0.43,25,1.17,63.64,4.36,58.54,0.53,1.28,0.74,20.61,2.02,31.98,86.05,10.84,75.49,0.04,0.21,5.63,6.06,77.19,0,,0,,0,0,0,0,,,1.38,,0,0
G. Escalante,Cádiz,La Liga,Midfielder,30,2000000,2024-06-30,8,637,0,0.36,1,0.98,13.28,51.06,Argentina,"Argentina, Italy",right,182,72,no,9.18,6.92,53.06,2.97,66.67,0.85,1.08,0.57,4.66,5.93,1.55,0,0,1,0.14,0,0,0,0.05,0,0,4,0.57,0,0,0.14,0.28,50,0.14,100,1.27,55.56,0.99,0.14,0,16.39,0.42,26,77.17,7.35,53.85,0.14,0.42,4.52,3.39,54.17,0,,0,,0,0,0,0,,,0.28,,0,0
Beñat Turrientes,Real Sociedad,La Liga,Midfielder,21,2000000,2027-06-30,6,332,0,0.54,0,0.06,15.72,58.62,Spain,Spain,right,181,70,no,5.69,5.96,50,2.17,12.5,0.81,1.3,0.27,1.9,3.04,2.17,0,0,0,0,0,0,0,0.15,0,0,5,1.36,20,0,0,0,0,4.34,93.75,6.78,80,0.27,0.81,0.27,18.7,2.17,24.94,91.3,5.42,90,0.02,0.27,3.52,2.98,90.91,0,,0,,0,0,0,0,,,0.54,,0,0
J. Deminguet,Strasbourg,Ligue 1,Midfielder,25,2000000,,6,472,0,0,0,0.01,14.68,49.35,France,France,left,178,74,no,7.06,6.67,62.86,1.53,50,0.38,0.4,0,2.48,2.58,1.33,1,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,1.72,22.22,4.19,36.36,0.19,0.95,0.57,20.78,0.95,28.98,87.5,7.63,70,0,0,6.29,4.39,73.91,0,,0,,0,0,0,0,,,0.57,,0,0
J. Allevinah,Clermont,Ligue 1,Midfielder,28,2000000,2024-06-30,7,476,0,0.13,0,0.43,18.91,47,France,"France, Gabon",right,172,61,no,3.59,4.35,43.48,1.32,28.57,0.19,0.29,0,1.51,2.29,0.95,0,0,0,0,0,0,0,0.02,0,0,4,0.76,0,0,0,3.4,38.89,5.86,74.19,11.72,50,2.27,5.48,1.7,23.26,1.32,32.33,80.12,5.86,67.74,0.08,0.38,1.7,5.11,70.37,0,,0,,0,0,0,0,,,0.76,,0,0
Y. Magnin,Clermont,Ligue 1,Midfielder,26,2000000,2025-06-30,6,307,0,2.1,0,0,13.78,53.19,France,France,right,183,71,no,6.74,2.93,60,5.57,47.37,0.29,0.47,0.29,4.69,7.5,1.17,0,0,0,0,0,0,0,0.62,0,0,8,2.35,37.5,0,0,0.29,0,0.59,100,2.05,85.71,4.1,0.29,0,32.25,1.76,43.97,87.33,10.26,68.57,0,0,4.98,4.69,87.5,0,,0,,0,0,0,0,,,0.88,,0,0
A. Martegani,Salernitana,Serie A,Midfielder,23,2000000,2024-12-31,7,400,0,0.04,0,0.24,18.23,43.21,Argentina,"Argentina, Italy",left,185,75,yes,4.73,5.85,50,0.9,25,0,0,0,1.8,2.61,1.13,0,0,0,0,0,0,0,0.01,0,0,6,1.35,16.67,0,0,0.68,33.33,2.48,81.82,8.78,46.15,0.9,3.15,0.68,22.73,1.8,33.53,89.93,10.8,79.17,0.05,0.68,4.95,4.95,81.82,0,,0,,0,0,0,0,,,0,,0,0
A. Touré,Le Havre,Ligue 1,Midfielder,29,1800000,2025-06-30,8,663,0,0.61,0,0,20.36,53.33,France,"France, Guinea",right,188,84,no,10.05,7.47,60,4.21,48.39,0.41,0.4,0.14,5.16,5.09,0.68,0,0,0,0,0,0,0,0.08,0,0,7,0.95,28.57,0,0,0.14,0,1.09,75,5.16,44.74,0.54,0.95,0.41,30.41,1.36,43.17,87.74,11.54,71.76,0,0,4.62,5.57,68.29,0,,0,,0,0,0,0,,,0.41,,0,0
H. Magnetti,Brest,Ligue 1,Midfielder,25,1800000,2026-06-30,8,523,0,0.18,0,0.23,16.35,52.63,France,France,right,180,75,no,10.67,9.64,67.86,1.72,40,0.34,0.45,0,3.79,4.96,1.38,1,0.17,0,0,0,0,0,0.03,0,0,8,1.38,37.5,0,0,1.03,33.33,0.86,40,3.44,20,0.69,1.2,0.17,21.51,0.34,33.73,90.31,7.4,76.74,0.04,0.17,3.61,3.44,75,0,,0,,0,0,0,0,,,0,,0,0
Jon Guridi,Deportivo Alavés,La Liga,Midfielder,28,1500000,2026-06-30,8,691,0,1.27,1,0.37,15.63,45.83,Spain,Spain,left,179,64,no,5.08,4.56,62.86,3.13,66.67,0.39,0.53,0.26,1.82,2.46,0.52,1,0.13,0,0,0,0,0,0.17,0,0,10,1.3,0,0,0.13,0.78,33.33,0.52,75,4.3,27.27,1.82,0.39,0.13,20.84,0.78,29.04,86.1,9.38,75,0.05,0.39,3.78,4.04,80.65,0,,0,,0,0,0,0,,,0,,0,0
Ramón Terrats,Villarreal,La Liga,Midfielder,22,1500000,2024-06-30,6,387,0,0.23,0,0,21.16,52.75,Spain,Spain,left,181,73,no,6.74,7.67,66.67,1.86,37.5,0,0,0,1.63,2.44,1.16,2,0.47,0,0,0,0,0,0.05,0,0,3,0.7,0,0,0,1.16,40,3.95,58.82,9.07,46.15,1.63,0.23,0.47,27.91,1.63,35.58,85.62,8.37,72.22,0,0,3.02,4.42,68.42,0,,0,,0,0,0,0,,,0.47,,0,0
K. N'Doram,Metz,Ligue 1,Midfielder,27,1500000,2024-06-30,7,663,0,0.05,1,0.07,10.72,53.16,France,"France, Chad",right,184,76,no,7.74,4.07,66.67,2.44,50,0.54,0.54,0.27,4.48,4.42,0.68,1,0.14,0,0,0,0,0,0.01,0,0,3,0.41,0,0,0.14,0.14,100,1.49,54.55,2.85,42.86,0,0.54,0.14,19.14,0.41,31.63,85.84,10.72,73.42,0.01,0,5.57,5.57,78.05,0,,0,,0,0,0,0,,,0.14,,0,0
M. Łęgowski,Salernitana,Serie A,Midfielder,20,1500000,2025-06-30,7,331,0,0,0,0.11,23.66,55.17,Poland,Poland,right,181,81,no,10.88,10.06,70.27,3.26,33.33,0,0,0.27,3.81,4.72,1.36,1,0.27,0,0,0,0,0,0,0,0,1,0.27,0,0,0,0.27,0,1.9,57.14,6.25,52.17,0.27,1.36,0.27,24.74,1.09,36.44,83.58,11.96,65.91,0.03,0.54,4.62,3.26,58.33,0,,0,,0,0,0,0,,,0,,0,0
A. Candreva,Salernitana,Serie A,Midfielder,36,1500000,2024-06-30,7,655,2,0.85,2,1.13,7.69,53.57,Italy,Italy,right,180,70,no,1.92,1.1,50,0.14,0,0,0,0.14,1.37,1.95,0,1,0.14,0,0,0.27,2,0.27,0.12,0,0,16,2.2,56.25,12.5,0.27,4.26,41.94,2.89,61.9,5.91,58.14,2.75,1.65,0.14,27.48,1.37,35.59,77.99,11.27,68.29,0.16,0.82,4.4,6.87,84,0,,0,,0,0,0,0,,,0,,0,0
A. Diouf,Lens,Ligue 1,Midfielder,20,1400000,2025-06-30,8,542,0,0.5,0,0.07,23.91,46.53,France,"France, Senegal",left,187,81,no,5.81,5.65,67.65,2.16,23.08,0,0,0.17,1.99,2.5,0.5,0,0,0,0,0,0,0,0.08,0,0,10,1.66,20,0,0,0.5,33.33,4.48,59.26,13.28,41.25,1.33,3.32,1.66,28.73,0.66,41.51,85.2,10.96,71.21,0.01,0.17,3.15,3.82,73.91,0,,0,,0,0,0,0,,,0.33,,0,0
D. Boloca,Sassuolo,Serie A,Midfielder,24,1400000,2025-06-30,7,639,0,0.31,0,0.45,13.66,44.33,Italy,"Italy, Romania",right,188,80,no,7.04,4.93,54.29,1.13,37.5,0,0,0.28,4.37,5.08,1.13,3,0.42,0,0,0,0,0,0.04,0,0,5,0.7,40,0,0,0.28,50,1.55,45.45,5.77,36.59,0.99,1.41,0.85,25.63,0.56,38.87,94.2,8.31,84.75,0.06,0,5.07,3.24,91.3,0,,0,,0,0,0,0,,,0.56,,0,0
K. Strootman,Genoa,Serie A,Midfielder,33,1300000,,5,342,0,0,2,0.72,12.37,46.81,Netherlands,Netherlands,left,186,78,no,9.47,6.32,54.17,1.58,33.33,0.53,0.51,1.05,5.53,5.34,1.32,2,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0.53,1.05,50,0.53,100,2.11,50,0.53,0.53,0,21.84,0.53,31.05,82.2,11.05,69.05,0.19,1.05,6.58,5.26,80,0,,0,,0,0,0,0,,,0.53,,0,0
G. Kastanos,Salernitana,Serie A,Midfielder,25,1300000,2026-06-30,8,643,0,0.82,0,0.13,20.16,42.36,Cyprus,Cyprus,left,179,70,no,6.02,4.62,63.64,4.2,26.67,0.56,0.77,0.14,2.52,3.48,1.12,1,0.14,0,0,0,0,0,0.12,0,0,13,1.82,23.08,0,0,1.96,14.29,2.66,57.89,8.4,35,0.98,1.12,0.28,22.4,1.68,32.33,76.62,10.22,64.38,0.02,0.14,5.18,6.72,70.83,0,,0,,0,0,0,0,,,0.14,,0,0
M. Mehlem,Darmstadt 98,Bundesliga,Midfielder,26,1200000,2025-06-30,7,564,3,1.18,1,0.34,14.68,45.65,Germany,Germany,right,174,67,no,9.57,5.27,51.52,2.07,30.77,0.64,0.76,0.32,6.22,7.45,1.28,3,0.48,0,0,0.48,3,0.48,0.19,0,0,7,1.12,71.43,42.857,0.16,1.12,28.57,1.76,45.45,4.15,53.85,2.07,1.76,0.64,23.78,1.91,36.7,77.39,9.57,58.33,0.05,0.16,4.63,5.74,63.89,0,,0,,0,0,0,0,,,0.8,,0,0
L. Maloney,Heidenheim,Bundesliga,Midfielder,24,1200000,2025-06-30,7,687,0,0.67,0,0,17.42,52.63,Germany,"Germany, United States",right,188,89,no,11.66,6.55,62,5.5,50,1.7,1.88,0.26,5.9,6.52,1.7,0,0,0,0,0,0,0,0.09,0,0,6,0.79,50,0,0,0.13,0,0.13,100,1.44,45.45,0.92,0.39,0,19.26,0.39,34.32,78.63,9.04,59.42,0,0,2.88,6.03,41.3,0,,0,,0,0,0,0,,,1.7,,0,0
V. Sierro,Toulouse,Ligue 1,Midfielder,28,1200000,2026-06-30,8,540,0,0.09,0,0.46,12.17,54.79,Switzerland,Switzerland,right,184,79,no,6.17,5,60,2.17,61.54,0.33,0.4,0.17,2.83,3.38,1.33,2,0.33,0,0,0,0,0,0.01,0,0,5,0.83,0,0,0,0.17,0,0.17,0,2.17,30.77,0.33,0.33,0,29,1.17,40,83.33,12.17,69.86,0.08,0,6.17,5.83,51.43,0,,0,,0,0,0,0,,,0.67,,0,0
P. Mpanzu,Luton Town,Premier League,Midfielder,29,1000000,2025-06-30,8,472,0,0.09,0,0.81,14.87,57.69,England,"England, Congo DR",right,175,74,no,8.2,5.34,78.57,2.1,27.27,0.38,0.45,0.38,3.62,4.32,1.14,0,0,0,0,0,0,0,0.02,0,0,6,1.14,0,0,0,1.72,55.56,1.53,62.5,5.15,55.56,0.76,0.57,0.19,14.3,0.76,22.12,75.86,7.44,69.23,0.16,0.57,2.67,4.77,72,0,,0,,0,0,0,0,,,0.38,,0,0
Iván Martín,Girona,La Liga,Midfielder,24,1000000,2025-06-30,8,639,1,1.18,0,0.12,20.42,37.24,Spain,Spain,left,178,70,no,6.06,5.77,58.54,2.25,6.25,0,0,0.28,2.68,4.29,1.69,2,0.28,0,0,0.14,1,0.14,0.17,0,0,4,0.56,50,25,0,0.7,20,2.68,42.11,8.17,31.03,1.97,1.83,2.39,28.87,0.7,38.03,88.89,6.62,70.21,0.02,0,2.96,3.38,62.5,0,,0,,0,0,0,0,,,0.14,,0,0
Pablo Ibáñez,Osasuna,La Liga,Midfielder,25,1000000,2024-06-30,7,324,0,0.15,0,0.11,23.33,41.67,Spain,Spain,right,179,74,no,6.11,7.5,44.44,7.78,42.86,0.56,0.64,0.28,2.22,2.55,1.11,1,0.28,0,0,0,0,0,0.04,0,0,3,0.83,33.33,0,0,1.39,20,1.67,16.67,3.89,21.43,1.67,1.11,0.56,16.11,0.56,23.61,75.29,9.44,82.35,0.03,0,3.33,5.83,85.71,0,,0,,0,0,0,0,,,0.28,,0,0
J. Fazzini,Empoli,Serie A,Midfielder,20,1000000,2027-06-30,6,310,0,0.18,0,0.79,20.32,54.29,Italy,Italy,right,178,67,no,9.87,6.39,72.73,3.48,25,0.58,0.73,0.29,4.65,5.85,0.58,0,0,0,0,0,0,0,0.05,0,0,4,1.16,25,0,0,1.16,25,2.61,66.67,8.13,57.14,1.45,0.87,0,20.03,0.87,35.42,88.52,9.29,84.38,0.23,0.29,3.77,3.48,83.33,0,,0,,0,0,0,0,,,0,,0,0
E. Loiodice,Las Palmas,La Liga,Midfielder,22,1000000,2025-06-30,9,741,0,0.39,0,0.27,20.53,43.2,France,France,left,176,69,no,7.77,7.41,57.38,2.67,45.45,1.34,2.13,0,2.19,3.48,1.34,1,0.12,0,0,0,0,0,0.05,0,0,6,0.73,66.67,0,0,0.49,0,2.55,28.57,8.62,26.76,1.09,0.85,0.12,30.61,1.46,41.54,83.33,10.81,71.91,0.03,0.12,5.83,3.77,58.06,0,,0,,0,0,0,0,,,0.12,,0,0
Javi Muñoz,Las Palmas,La Liga,Midfielder,28,1000000,,9,517,0,0.22,0,0.02,10.1,44.83,Spain,Spain,right,179,69,no,6.09,5.22,50,1.22,57.14,0.35,0.54,0.35,3.13,4.86,1.22,0,0,0,0,0,0,0,0.04,0,0,4,0.7,25,0,0,1.22,42.86,0.7,50,2.44,28.57,1.39,0.87,0.17,31.33,0.17,37.25,83.64,8.53,65.31,0,0.17,2.79,2.61,60,0,,0,,0,0,0,0,,,0.17,,0,0
M. Gonalons,Clermont,Ligue 1,Midfielder,34,1000000,2024-06-30,7,605,0,0.37,0,0,15.77,60.38,France,France,right,187,76,no,9.22,8.33,73.21,1.04,71.43,0,0,0,3.12,4.88,1.34,1,0.15,0,0,0,0,0,0.05,0,0,6,0.89,0,0,0,0,0,0.74,60,3.87,34.62,0.74,1.04,0.6,35.26,1.04,50.13,90.21,13.24,76.4,0,0,9.07,7.59,98.04,0,,0,,0,0,0,0,,,0.74,,0,0
Sergio Ruiz,Granada,La Liga,Midfielder,28,1000000,2026-06-30,7,538,0,0.09,0,0.08,19.24,55.65,Spain,Spain,right,176,75,no,9.2,7.36,63.64,2.34,50,0,0,0.17,4.52,6.14,1.17,2,0.33,0,0,0,0,0,0.02,0,0,2,0.33,0,0,0,0,0,1.84,27.27,6.52,38.46,0.33,0.84,0.17,24.93,2.01,36.8,84.09,9.54,64.91,0.01,0,3.18,3.35,50,0,,0,,0,0,0,0,,,0.67,,0,0
E. Barrenechea,Frosinone,Serie A,Midfielder,22,900000,2026-06-30,8,612,0,0.11,0,0.05,14.85,47.52,Argentina,Argentina,right,186,84,yes,12.21,7.35,46,2.21,60,1.18,1.66,0.29,7.65,10.76,1.32,3,0.44,0,0,0,0,0,0.02,0,0,1,0.15,100,0,0,0,0,0.74,20,2.79,36.84,0.29,0.15,0.15,30.88,0.74,47.35,89.75,12.94,77.27,0.01,0,5.59,5.29,63.89,0,,0,,0,0,0,0,,,2.06,,0,0
M. Badelj,Genoa,Serie A,Midfielder,34,800000,2024-06-30,6,443,0,0.06,0,0,10.36,43.14,Croatia,Croatia,right,186,76,no,8.53,5.89,48.28,1.02,60,0.61,0.58,0,5.08,4.84,1.02,2,0.41,0,0,0,0,0,0.01,0,0,1,0.2,100,0,0,0.41,0,0.61,0,2.23,36.36,0.2,0.61,0,26,0.81,37.79,77.96,14.02,62.32,0,0,7.92,6.3,61.29,0,,0,,0,0,0,0,,,0.41,,0,0
Kirian Rodríguez,Las Palmas,La Liga,Midfielder,27,800000,2026-06-30,9,764,1,0.2,0,0.2,14.73,54.4,Spain,Spain,right,180,72,no,7.54,6.48,69.09,1.3,45.45,0,0,0.12,3.06,4.81,0.71,4,0.47,0,0,0.12,1,0.12,0.02,0,0,10,1.18,20,10,0,0.94,37.5,1.06,55.56,4.12,45.71,0.35,0.82,0,56.07,1.06,69.27,91.16,20.73,84.66,0.02,0.12,8.13,8.6,80.82,0,,0,,0,0,0,0,,,1.06,,0,0
J. Gastien,Clermont,Ligue 1,Midfielder,35,800000,2025-06-30,7,619,0,0.06,0,0.28,12.79,51.14,France,France,right,179,69,no,8,6.11,52.38,1.6,54.55,1.45,2.19,0.15,3.34,5.04,1.16,1,0.15,0,0,0,0,0,0.01,0,0,2,0.29,50,0,0,0.44,33.33,1.02,57.14,3.49,50,0.29,0.15,0.15,48.27,1.02,59.61,86.59,20.5,78.72,0.04,0.29,11.05,11.63,85,0,,0,,0,0,0,0,,,0.58,,0,0
