Player,Team,League,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",xA per 90,Key passes per 90,Passes to final third per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Aerial duels per 90,"Direct free kicks on target, %","Penalty conversion, %"
V. van Dijk,Liverpool,Premier League,Centre-back,32,45000000,2025-06-30,6,542,0,0.62,2,0.14,11.13,74.63,Netherlands,"Netherlands, Suriname",right,193,92,no,10.3,3.99,79.17,4.48,85.19,0,0,1.33,7.14,9.15,0.5,1,0.17,1,0.17,0,0,0,0.1,0,0,6,1,0,0,0.33,0,0,0,0,0.5,66.67,1,0.17,0.17,35.7,0.17,46.99,93.64,15.28,85.87,0.02,0.17,2.99,3.65,72.73,0,,0,,0,0,0,0,,,1,,0,0
A. Rüdiger,Real Madrid,La Liga,Centre-back,30,40000000,2026-06-30,9,852,0,0.2,0,0.23,9.82,59.14,Germany,"Germany, Sierra Leone",right,190,86,no,5.39,4.01,57.89,2.96,67.86,0,0,0.53,3.06,4.42,1.27,4,0.42,0,0,0,0,0,0.02,0,0,6,0.63,16.67,0,0,0.21,0,0.21,50,1.16,36.36,0.53,1.16,0.74,37.18,0.11,50.6,90.61,16.9,78.13,0.02,0.11,5.39,7.18,72.06,0,,0,,0,0,0,0,,,1.69,,0,0
R. Varane,Manchester United,Premier League,Centre-back,30,40000000,2025-06-30,5,359,1,0.76,0,0.16,11.53,69.57,France,"France, Martinique",right,191,81,no,9.53,6.77,77.78,1.75,100,0,0,0.5,4.26,6.07,0.5,0,0,0,0,0.25,1,0.25,0.19,1,0.25,6,1.5,33.33,16.667,0,0.25,100,0,0,0.75,0,1.75,3.51,0,43.87,0,62.17,94.35,20.06,90,0.04,0.25,10.03,8.77,77.14,0,,0,,0,0,0,0,,,2.51,,0,0
N. Schlotterbeck,Borussia Dortmund,Bundesliga,Centre-back,23,40000000,2027-06-30,6,605,1,0.6,0,0,11.9,56.25,Germany,Germany,left,191,86,no,6.99,3.27,68.18,4.31,55.17,0.15,0.26,0.3,4.61,8.02,0.3,0,0,0,0,0.15,1,0.15,0.09,0,0,5,0.74,40,20,0,0.15,0,0.45,66.67,1.49,40,0.74,1.49,0.6,49.09,0.89,66.05,88.74,26.93,81.77,0,0.15,9.97,11.75,83.54,0,,0,,0,0,0,0,,,1.79,,0,0
Bremer,Juventus,Serie A,Centre-back,26,40000000,2027-06-30,8,783,0,1.23,0,0.29,17.13,61.07,Brazil,Brazil,right,188,82,no,10.34,7.47,73.85,4.37,60.53,0.11,0.14,0.57,4.71,5.77,1.38,1,0.11,0,0,0,0,0,0.14,0,0,5,0.57,20,0,0,0,0,0.11,100,1.26,36.36,0.92,0.34,0.11,31.38,0.23,45.17,89.06,16.32,76.06,0.03,0.11,3.68,6.78,55.93,0,,0,,0,0,0,0,,,1.03,,0,0
Robin Le Normand,Real Sociedad,La Liga,Centre-back,26,35000000,2026-06-30,8,744,1,0.52,0,0,16.94,67.86,France,"France, Spain",right,187,81,no,7.86,6.29,71.15,5.69,68.09,0.24,0.36,0.24,3.15,4.67,1.09,4,0.48,0,0,0.12,1,0.12,0.06,0,0,2,0.24,50,50,0,0,0,0,0,0.97,50,0.24,1.09,0.24,39.56,0.85,53.95,92.6,17.42,81.94,0,0,4.96,4.84,80,0,,0,,0,0,0,0,,,1.81,,0,0
N. Aké,Manchester City,Premier League,Centre-back,28,35000000,2027-06-30,7,517,1,0.88,0,0.34,11.32,58.46,Netherlands,"Netherlands, Côte d'Ivoire",left,180,75,no,5.74,4.87,57.14,2.79,62.5,0.7,1.12,0,2.26,3.64,0.52,0,0,0,0,0.17,1,0.17,0.15,1,0.17,5,0.87,40,20,0,0.35,50,0.17,100,0.87,80,1.57,1.39,0,49.09,0.87,59.88,93.31,21.41,88.62,0.06,0.35,4.87,5.05,68.97,0,,0,,0,0,0,0,,,2.61,,0,0
M. Guéhi,Crystal Palace,Premier League,Centre-back,23,35000000,2026-06-30,7,690,0,0.08,0,0,11.35,62.07,Côte d'Ivoire,"Côte d'Ivoire, England",right,182,82,no,9.39,4.7,72.22,1.96,46.67,0.26,0.3,1.04,5.74,6.57,0.52,0,0,0,0,0,0,0,0.01,0,0,1,0.13,0,0,0,0.13,100,0.78,83.33,2.87,59.09,0.13,1.17,0.26,39.26,1.17,52.83,91.85,18.65,83.92,0,0,7.83,8.09,82.26,0,,0,,0,0,0,0,,,1.04,,0,0
N. Süle,Borussia Dortmund,Bundesliga,Centre-back,28,35000000,2026-06-30,5,296,0,0.03,0,0,6.08,70,Germany,Germany,right,195,99,no,7.6,2.13,71.43,0.91,66.67,0,0,1.22,6.08,11.32,0,0,0,0,0,0,0,0,0.01,0,0,1,0.3,0,0,0,0,0,0.3,100,1.22,75,0.3,1.22,0.91,58.38,0.3,77.23,94.49,24.63,87.65,0,0,9.43,8.51,85.71,0,,0,,0,0,0,0,,,3.34,,0,0
E. Ndicka,Roma,Serie A,Centre-back,24,32000000,,5,493,0,0.3,0,0.01,12.78,58.57,Côte d'Ivoire,"Côte d'Ivoire, France",left,192,80,no,8.58,6.57,69.44,3.1,47.06,0.55,0.77,0.37,3.47,4.87,0.73,0,0,0,0,0,0,0,0.06,0,0,1,0.18,100,0,0,0,0,0,0,0.37,0,0.37,0.37,0.18,44.91,0.18,59.7,92.05,23.18,85.83,0,0,2.01,5.48,60,0,,0,,0,0,0,0,,,1.83,,0,0
N. Aguerd,West Ham United,Premier League,Centre-back,27,32000000,2027-06-30,7,672,1,0.88,0,0.14,12.46,55.91,Morocco,Morocco,left,190,76,no,10.58,5.09,71.05,4.15,41.94,0.4,0.43,1.47,6.56,6.97,0.67,1,0.13,1,0.13,0.13,1,0.13,0.12,1,0.13,4,0.54,50,25,0,0,0,0.13,100,1.07,50,0.54,0.27,0.13,25.45,0.4,35.49,86.04,15.4,70.43,0.02,0,4.42,7.5,62.5,0,,0,,0,0,0,0,,,0.8,,0,0
J. Andersen,Crystal Palace,Premier League,Centre-back,27,32000000,2026-06-30,8,807,2,0.63,0,0.72,13.27,62.18,Denmark,Denmark,right,192,87,no,9.48,5.02,64.44,4.8,60.47,0.22,0.25,0.78,6.02,6.69,0.78,0,0,0,0,0.22,2,0.22,0.07,0,0,6,0.67,66.67,33.333,0,1.12,60,1.23,45.45,2.34,61.9,1,1.78,0.33,39.37,1.12,52.75,87.32,19.85,73.6,0.08,0.67,10.82,9.59,79.07,0,,0,,0,0,0,0,,,3.23,,0,0
G. Scalvini,Atalanta,Serie A,Centre-back,19,30000000,2027-06-30,8,680,0,0.2,0,0.06,19.19,66.9,Italy,Italy,right,194,76,no,13.63,9.4,76.06,4.63,54.29,0,0,0.79,6.49,7.62,1.06,0,0,0,0,0,0,0,0.03,0,0,2,0.26,50,0,0,0.13,100,1.85,64.29,2.38,55.56,1.06,0.79,0.13,32.16,0,48.57,88.56,17.21,76.15,0.01,0.13,4.9,6.09,69.57,0,,0,,0,0,0,0,,,0.53,,0,0
M. Akanji,Manchester City,Premier League,Centre-back,28,30000000,2027-06-30,6,611,0,0.09,0,0.02,10.02,70.59,Switzerland,"Switzerland, Nigeria",right,187,91,no,7.51,4.86,72.73,1.62,63.64,0.44,0.75,0.88,3.54,6,0.44,1,0.15,0,0,0,0,0,0.01,0,0,3,0.44,33.33,0,0,0.74,20,0.44,33.33,1.77,58.33,0.44,2.5,0.29,61.87,0.74,74.39,94.65,22.98,87.82,0,0,8.4,5.74,82.05,0,,0,,0,0,0,0,,,2.65,,0,0
